 
GOLD1-2 202178770116_R08C01_Grn.idat,202178770116_R08C01_Red.idat
GOLD1-2 202178770029_R08C01_Grn.idat,202178770029_R08C01_Red.idat
GOLD1-2 202176290067_R01C01_Grn.idat,202176290067_R01C01_Red.idat
GOLD1-2 202176290052_R01C01_Grn.idat,202176290052_R01C01_Red.idat
GOLD1-2 202176290080_R04C01_Grn.idat,202176290080_R04C01_Red.idat
GOLD1-2 202176290052_R03C01_Grn.idat,202176290052_R03C01_Red.idat
GOLD1-2 202176290080_R06C01_Grn.idat,202176290080_R06C01_Red.idat
GOLD1-2 202176290080_R08C01_Grn.idat,202176290080_R08C01_Red.idat
GOLD1-2 202176290052_R07C01_Grn.idat,202176290052_R07C01_Red.idat
GOLD1-2 202176290079_R02C01_Grn.idat,202176290079_R02C01_Red.idat
GOLD1-2 202176290093_R03C01_Grn.idat,202176290093_R03C01_Red.idat
GOLD1-2 202176290079_R04C01_Grn.idat,202176290079_R04C01_Red.idat
GOLD1-2 202176290093_R07C01_Grn.idat,202176290093_R07C01_Red.idat
GOLD1-2 202176290093_R05C01_Grn.idat,202176290093_R05C01_Red.idat
GOLD1-2 202176290079_R08C01_Grn.idat,202176290079_R08C01_Red.idat
GOLD1-2 202176290092_R01C01_Grn.idat,202176290092_R01C01_Red.idat
GOLD1-2 202176290092_R03C01_Grn.idat,202176290092_R03C01_Red.idat
GOLD1-2 202176290092_R05C01_Grn.idat,202176290092_R05C01_Red.idat
GOLD1-2 202176290141_R02C01_Grn.idat,202176290141_R02C01_Red.idat
GOLD1-2 202176290098_R02C01_Grn.idat,202176290098_R02C01_Red.idat
GOLD1-2 202176290098_R04C01_Grn.idat,202176290098_R04C01_Red.idat
GOLD1-2 202176290141_R04C01_Grn.idat,202176290141_R04C01_Red.idat
GOLD1-2 202176290098_R06C01_Grn.idat,202176290098_R06C01_Red.idat
GOLD1-2 202176290142_R03C01_Grn.idat,202176290142_R03C01_Red.idat
GOLD1-2 202176290141_R06C01_Grn.idat,202176290141_R06C01_Red.idat
GOLD1-2 202176290142_R01C01_Grn.idat,202176290142_R01C01_Red.idat
GOLD1-2 202176290142_R05C01_Grn.idat,202176290142_R05C01_Red.idat
GOLD1-2 202172220107_R06C01_Grn.idat,202172220107_R06C01_Red.idat
GOLD1-2 202176290171_R03C01_Grn.idat,202176290171_R03C01_Red.idat
GOLD1-2 202176290171_R05C01_Grn.idat,202176290171_R05C01_Red.idat
GOLD1-2 202176290143_R02C01_Grn.idat,202176290143_R02C01_Red.idat
GOLD1-2 202176290171_R07C01_Grn.idat,202176290171_R07C01_Red.idat
GOLD1-2 202176290143_R04C01_Grn.idat,202176290143_R04C01_Red.idat
GOLD1-2 202178770056_R04C01_Grn.idat,202178770056_R04C01_Red.idat
GOLD1-2 202178770056_R06C01_Grn.idat,202178770056_R06C01_Red.idat
GOLD1-2 202178770056_R08C01_Grn.idat,202178770056_R08C01_Red.idat
GOLD1-2 202178770067_R01C01_Grn.idat,202178770067_R01C01_Red.idat
GOLD1-2 202178770067_R05C01_Grn.idat,202178770067_R05C01_Red.idat
GOLD1-2 202178770067_R07C01_Grn.idat,202178770067_R07C01_Red.idat
GOLD1-2 202178770068_R02C01_Grn.idat,202178770068_R02C01_Red.idat
GOLD1-2 202178770068_R06C01_Grn.idat,202178770068_R06C01_Red.idat
GOLD1-2 202176290143_R08C01_Grn.idat,202176290143_R08C01_Red.idat
GOLD1-2 202178770068_R08C01_Grn.idat,202178770068_R08C01_Red.idat
GOLD1-2 202176290144_R01C01_Grn.idat,202176290144_R01C01_Red.idat
GOLD1-2 202176290144_R03C01_Grn.idat,202176290144_R03C01_Red.idat
GOLD1-2 202172220107_R02C01_Grn.idat,202172220107_R02C01_Red.idat
GOLD1-2 202178770070_R01C01_Grn.idat,202178770070_R01C01_Red.idat
GOLD1-2 202178170098_R02C01_Grn.idat,202178170098_R02C01_Red.idat
GOLD1-2 202178770070_R07C01_Grn.idat,202178770070_R07C01_Red.idat
GOLD1-2 202178770070_R03C01_Grn.idat,202178770070_R03C01_Red.idat
GOLD1-2 202178170098_R06C01_Grn.idat,202178170098_R06C01_Red.idat
GOLD1-2 202178170098_R08C01_Grn.idat,202178170098_R08C01_Red.idat
GOLD1-2 202178170111_R01C01_Grn.idat,202178170111_R01C01_Red.idat
GOLD1-2 202178170111_R05C01_Grn.idat,202178170111_R05C01_Red.idat
GOLD1-2 202176290067_R04C01_Grn.idat,202176290067_R04C01_Red.idat
GOLD1-2 202176290001_R01C01_Grn.idat,202176290001_R01C01_Red.idat
GOLD1-2 202176290093_R06C01_Grn.idat,202176290093_R06C01_Red.idat
GOLD1-2 202178770067_R08C01_Grn.idat,202178770067_R08C01_Red.idat
GOLD1-2 202176290092_R04C01_Grn.idat,202176290092_R04C01_Red.idat
GOLD1-2 202176290052_R06C01_Grn.idat,202176290052_R06C01_Red.idat
GOLD1-2 202178770070_R02C01_Grn.idat,202178770070_R02C01_Red.idat
GOLD1-2 202176290067_R08C01_Grn.idat,202176290067_R08C01_Red.idat
GOLD1-2 202178770068_R01C01_Grn.idat,202178770068_R01C01_Red.idat
GOLD1-2 202176290052_R02C01_Grn.idat,202176290052_R02C01_Red.idat
GOLD1-2 202178770029_R07C01_Grn.idat,202178770029_R07C01_Red.idat
GOLD1-2 202172220107_R01C01_Grn.idat,202172220107_R01C01_Red.idat
GOLD1-2 202178770116_R02C01_Grn.idat,202178770116_R02C01_Red.idat
GOLD1-2 202178770116_R04C01_Grn.idat,202178770116_R04C01_Red.idat
GOLD1-2 202176290142_R04C01_Grn.idat,202176290142_R04C01_Red.idat
GOLD1-2 202178770072_R03C01_Grn.idat,202178770072_R03C01_Red.idat
GOLD1-2 202176290079_R03C01_Grn.idat,202176290079_R03C01_Red.idat
GOLD1-2 202176290171_R06C01_Grn.idat,202176290171_R06C01_Red.idat
GOLD1-2 202176290141_R05C01_Grn.idat,202176290141_R05C01_Red.idat
GOLD1-2 202176290098_R05C01_Grn.idat,202176290098_R05C01_Red.idat
GOLD1-2 202178770116_R05C01_Grn.idat,202178770116_R05C01_Red.idat
GOLD1-2 202176290001_R06C01_Grn.idat,202176290001_R06C01_Red.idat
GOLD1-2 202172220107_R08C01_Grn.idat,202172220107_R08C01_Red.idat
GOLD1-2 202176290001_R08C01_Grn.idat,202176290001_R08C01_Red.idat
GOLD1-2 202176290001_R02C01_Grn.idat,202176290001_R02C01_Red.idat
GOLD3-4 202172220107_R07C01_Grn.idat,202172220107_R07C01_Red.idat
GOLD3-4 202176290052_R08C01_Grn.idat,202176290052_R08C01_Red.idat
GOLD3-4 202176290079_R01C01_Grn.idat,202176290079_R01C01_Red.idat
GOLD3-4 202176290092_R02C01_Grn.idat,202176290092_R02C01_Red.idat
GOLD3-4 202176290092_R08C01_Grn.idat,202176290092_R08C01_Red.idat
GOLD3-4 202176290141_R03C01_Grn.idat,202176290141_R03C01_Red.idat
GOLD3-4 202176290171_R04C01_Grn.idat,202176290171_R04C01_Red.idat
GOLD3-4 202178770056_R03C01_Grn.idat,202178770056_R03C01_Red.idat
GOLD3-4 202172220107_R04C01_Grn.idat,202172220107_R04C01_Red.idat
GOLD3-4 202178770056_R05C01_Grn.idat,202178770056_R05C01_Red.idat
GOLD3-4 202178770068_R07C01_Grn.idat,202178770068_R07C01_Red.idat
GOLD3-4 202178770070_R08C01_Grn.idat,202178770070_R08C01_Red.idat
GOLD3-4 202178770072_R01C01_Grn.idat,202178770072_R01C01_Red.idat
GOLD3-4 202176290001_R05C01_Grn.idat,202176290001_R05C01_Red.idat
GOLD3-4 202176290001_R07C01_Grn.idat,202176290001_R07C01_Red.idat
GOLD3-4 202176290067_R06C01_Grn.idat,202176290067_R06C01_Red.idat
GOLD3-4 202176290080_R05C01_Grn.idat,202176290080_R05C01_Red.idat
GOLD3-4 202176290093_R04C01_Grn.idat,202176290093_R04C01_Red.idat
GOLD3-4 202176290098_R03C01_Grn.idat,202176290098_R03C01_Red.idat
GOLD3-4 202178770116_R06C01_Grn.idat,202178770116_R06C01_Red.idat
GOLD3-4 202176290143_R01C01_Grn.idat,202176290143_R01C01_Red.idat
GOLD3-4 202176290143_R07C01_Grn.idat,202176290143_R07C01_Red.idat
GOLD3-4 202176290144_R08C01_Grn.idat,202176290144_R08C01_Red.idat
GOLD3-4 202178170098_R05C01_Grn.idat,202178170098_R05C01_Red.idat
GOLD3-4 202178170098_R07C01_Grn.idat,202178170098_R07C01_Red.idat
GOLD3-4 202178170111_R06C01_Grn.idat,202178170111_R06C01_Red.idat
GOLD3-4 202178770067_R06C01_Grn.idat,202178770067_R06C01_Red.idat
GOLD3-4 202176290052_R05C01_Grn.idat,202176290052_R05C01_Red.idat
GOLD3-4 202176290079_R06C01_Grn.idat,202176290079_R06C01_Red.idat
GOLD3-4 202176290092_R07C01_Grn.idat,202176290092_R07C01_Red.idat
GOLD3-4 202176290141_R08C01_Grn.idat,202176290141_R08C01_Red.idat
GOLD3-4 202176290171_R01C01_Grn.idat,202176290171_R01C01_Red.idat
GOLD3-4 202178770056_R02C01_Grn.idat,202178770056_R02C01_Red.idat
GOLD3-4 202178770068_R04C01_Grn.idat,202178770068_R04C01_Red.idat
GOLD3-4 202178770070_R05C01_Grn.idat,202178770070_R05C01_Red.idat
GOLD3-4 202178770072_R06C01_Grn.idat,202178770072_R06C01_Red.idat
GOLD3-4 202176290067_R03C01_Grn.idat,202176290067_R03C01_Red.idat
GOLD3-4 202176290080_R02C01_Grn.idat,202176290080_R02C01_Red.idat
GOLD3-4 202178770116_R07C01_Grn.idat,202178770116_R07C01_Red.idat
GOLD3-4 202176290093_R01C01_Grn.idat,202176290093_R01C01_Red.idat
GOLD3-4 202176290098_R08C01_Grn.idat,202176290098_R08C01_Red.idat
GOLD3-4 202176290142_R07C01_Grn.idat,202176290142_R07C01_Red.idat
GOLD3-4 202176290144_R05C01_Grn.idat,202176290144_R05C01_Red.idat
GOLD3-4 202178170098_R04C01_Grn.idat,202178170098_R04C01_Red.idat
GOLD3-4 202178170111_R03C01_Grn.idat,202178170111_R03C01_Red.idat
NON-SMOKER 202178770046_R01C01_Grn.idat,202178770046_R01C01_Red.idat
NON-SMOKER 202176290098_R07C01_Grn.idat,202176290098_R07C01_Red.idat
NON-SMOKER 202178170111_R02C01_Grn.idat,202178170111_R02C01_Red.idat
NON-SMOKER 202176290067_R02C01_Grn.idat,202176290067_R02C01_Red.idat
NON-SMOKER 202178770029_R06C01_Grn.idat,202178770029_R06C01_Red.idat
NON-SMOKER 202176290142_R06C01_Grn.idat,202176290142_R06C01_Red.idat
NON-SMOKER 202176290001_R03C01_Grn.idat,202176290001_R03C01_Red.idat
NON-SMOKER 202176290143_R05C01_Grn.idat,202176290143_R05C01_Red.idat
NON-SMOKER 202176290080_R01C01_Grn.idat,202176290080_R01C01_Red.idat
NON-SMOKER 202176290079_R05C01_Grn.idat,202176290079_R05C01_Red.idat
NON-SMOKER 202176290098_R01C01_Grn.idat,202176290098_R01C01_Red.idat
NON-SMOKER 202172220107_R03C01_Grn.idat,202172220107_R03C01_Red.idat
NON-SMOKER 202176290144_R06C01_Grn.idat,202176290144_R06C01_Red.idat
NON-SMOKER 202176290144_R04C01_Grn.idat,202176290144_R04C01_Red.idat
NON-SMOKER 202178770070_R06C01_Grn.idat,202178770070_R06C01_Red.idat
NON-SMOKER 202176290093_R08C01_Grn.idat,202176290093_R08C01_Red.idat
NON-SMOKER 202176290171_R08C01_Grn.idat,202176290171_R08C01_Red.idat
NON-SMOKER 202176290141_R07C01_Grn.idat,202176290141_R07C01_Red.idat
NON-SMOKER 202178770070_R04C01_Grn.idat,202178770070_R04C01_Red.idat
NON-SMOKER 202176290052_R04C01_Grn.idat,202176290052_R04C01_Red.idat
NON-SMOKER 202178770072_R05C01_Grn.idat,202178770072_R05C01_Red.idat
NON-SMOKER 202178770068_R03C01_Grn.idat,202178770068_R03C01_Red.idat
NON-SMOKER 202178770067_R02C01_Grn.idat,202178770067_R02C01_Red.idat
NON-SMOKER 202178170098_R03C01_Grn.idat,202178170098_R03C01_Red.idat
NON-SMOKER 202176290092_R06C01_Grn.idat,202176290092_R06C01_Red.idat
NON-SMOKER 202178770056_R01C01_Grn.idat,202178770056_R01C01_Red.idat
